dataset,pde_class,method,relative_l2,error_percent,ratio_to_calibrated_single
ext__rayleigh_benard_2d,convection,inverse_mse,2.857478062174846e-05,0.002857478062174846,0.9496468085621429
ext__rayleigh_benard_2d,convection,full,2.6882624416967975e-05,0.0026882624416967975,0.8934101304672163
sharp__burgers_2d,shocks,mf_fno_transfer_film,0.005469765587953454,0.5469765587953453,1.0596506671259744
sharp__burgers_2d,shocks,mf_fno_allpairs,0.005334614266813257,0.5334614266813257,1.0334679751428706
sharp__burgers_2d,shocks,convnext_unet_film,1.0000000000000002,100.00000000000003,193.72871653946862
sharp__burgers_2d,shocks,fno_fire_distcond,0.00507223589182969,0.5072235891829691,0.9826377493095927
sharp__burgers_2d,shocks,wno_transfer_film,0.012762672654129304,1.2762672654129303,2.472496192897843
sharp__burgers_2d,shocks,mf_deeponet,0.048839268103693656,4.883926810369365,9.461568726455578
sharp__burgers_2d,shocks,st_hf_pod_gp,0.025048075149978425,2.5048075149978426,4.852531450589478
sharp__burgers_2d,shocks,uqcorr_transolver_pred,0.016880413478092635,1.6880413478092635,3.2702208377664332
sharp__burgers_2d,shocks,uqcorr_convnext_pred,0.005447156229155069,0.5447156229155069,1.055270585064183
sharp__burgers_2d,shocks,single_l2,0.005161857353224496,0.5161857353224496,1.0
sharp__burgers_2d,shocks,inverse_mse,0.005125708550944195,0.5125708550944196,0.9929969389297982
sharp__burgers_2d,shocks,full,0.005016558415723756,0.5016558415723755,0.9718514233234331
sharp__euler,shocks,mf_fno_transfer_film,0.0619700474018046,6.19700474018046,1.0171041905940335
sharp__euler,shocks,mf_fno_allpairs,0.06076209817846905,6.076209817846905,0.9972783187641595
sharp__euler,shocks,convnext_unet_film,0.06722308469844464,6.722308469844464,1.103321427336114
sharp__euler,shocks,fno_fire_distcond,0.06295654441312591,6.295654441312591,1.0332954037089388
sharp__euler,shocks,wno_transfer_film,0.07431819154886356,7.431819154886356,1.2197722485446736
sharp__euler,shocks,mf_deeponet,0.08132979890078416,8.132979890078417,1.3348526062245472
sharp__euler,shocks,st_hf_pod_gp,0.0614915228415964,6.14915228415964,1.0092502457304096
sharp__euler,shocks,uqcorr_transolver_pred,0.06004770878940763,6.004770878940763,0.9855531632770407
sharp__euler,shocks,uqcorr_convnext_pred,0.05880681408467734,5.880681408467734,0.9651865626823416
sharp__euler,shocks,single_l2,0.06092792456750313,6.092792456750313,1.0
sharp__euler,shocks,inverse_mse,0.05641170633002109,5.641170633002109,0.9258760532294443
sharp__euler,shocks,full,0.05732396381223309,5.732396381223309,0.9408487851694809
sharp__porous_medium_2d,porous,mf_fno_transfer_film,0.0004484751065117377,0.04484751065117377,1.3800373434021804
sharp__porous_medium_2d,porous,mf_fno_allpairs,0.00032497316732467565,0.032497316732467564,1.0
sharp__porous_medium_2d,porous,convnext_unet_film,0.0005955504925799897,0.059555049257998975,1.8326143585417454
sharp__porous_medium_2d,porous,fno_fire_distcond,0.0006538384367745159,0.06538384367745159,2.0119766876668805
sharp__porous_medium_2d,porous,wno_transfer_film,0.0012567456592085895,0.12567456592085896,3.867229007104437
sharp__porous_medium_2d,porous,mf_deeponet,0.02748032156046722,2.748032156046722,84.5618171700067
sharp__porous_medium_2d,porous,st_hf_pod_gp,0.009085465808863854,0.9085465808863854,27.957587648418695
sharp__porous_medium_2d,porous,uqcorr_transolver_pred,0.0068074247512038355,0.6807424751203836,20.947651793056018
sharp__porous_medium_2d,porous,uqcorr_convnext_pred,0.0004969962230977248,0.049699622309772484,1.5293454139282325
sharp__porous_medium_2d,porous,single_l2,0.00032497316732467565,0.032497316732467564,1.0
sharp__porous_medium_2d,porous,inverse_mse,0.00026214808972888326,0.026214808972888325,0.8066761077137645
sharp__porous_medium_2d,porous,full,0.0002632087162040076,0.026320871620400758,0.8099398432518579
sharp__allen_cahn_2d,reaction_diffusion,mf_fno_transfer_film,0.5298647502107592,52.98647502107592,1.3442425620887446
sharp__allen_cahn_2d,reaction_diffusion,mf_fno_allpairs,0.5266697905952337,52.666979059523364,1.3361370961228811
sharp__allen_cahn_2d,reaction_diffusion,convnext_unet_film,0.42084583144425164,42.08458314442517,1.0676665667606087
sharp__allen_cahn_2d,reaction_diffusion,fno_fire_distcond,0.45442456485696753,45.44245648569675,1.1528542728996753
sharp__allen_cahn_2d,reaction_diffusion,wno_transfer_film,0.4134471913252778,41.34471913252778,1.0488965562144343
sharp__allen_cahn_2d,reaction_diffusion,mf_deeponet,1.0203301299239906,102.03301299239907,2.5885307287941126
sharp__allen_cahn_2d,reaction_diffusion,st_hf_pod_gp,0.5546311614608553,55.46311614608553,1.4070738111939747
sharp__allen_cahn_2d,reaction_diffusion,uqcorr_transolver_pred,0.41396090043281747,41.396090043281745,1.050199812652257
sharp__allen_cahn_2d,reaction_diffusion,uqcorr_convnext_pred,0.3875444620938396,38.75444620938396,0.9831825205226664
sharp__allen_cahn_2d,reaction_diffusion,single_l2,0.39417346627340194,39.417346627340194,1.0
sharp__allen_cahn_2d,reaction_diffusion,inverse_mse,0.3787855716595326,37.87855716595326,0.9609616173322123
sharp__allen_cahn_2d,reaction_diffusion,full,0.3462811793288634,34.62811793288634,0.8784994652295544
ext__cahn_hilliard_2d,reaction_diffusion,mf_fno_transfer_film,0.12923585736225598,12.923585736225599,1.0626747437842945
ext__cahn_hilliard_2d,reaction_diffusion,mf_fno_allpairs,0.12524923572526062,12.524923572526061,1.0298937322823252
ext__cahn_hilliard_2d,reaction_diffusion,convnext_unet_film,0.12236927045977582,12.236927045977582,1.0062124845769915
ext__cahn_hilliard_2d,reaction_diffusion,fno_fire_distcond,0.11739071479638401,11.739071479638401,0.9652750429722139
ext__cahn_hilliard_2d,reaction_diffusion,wno_transfer_film,0.36255703135592626,36.255703135592626,2.9812175062482034
ext__cahn_hilliard_2d,reaction_diffusion,mf_deeponet,0.8163505029026759,81.63505029026759,6.71264987300377
ext__cahn_hilliard_2d,reaction_diffusion,st_hf_pod_gp,0.30321557615830946,30.321557615830947,2.493267281093959
ext__cahn_hilliard_2d,reaction_diffusion,uqcorr_transolver_pred,0.4108529153870424,41.08529153870424,3.3783427100122125
ext__cahn_hilliard_2d,reaction_diffusion,uqcorr_convnext_pred,0.12487283284264061,12.48728328426406,1.0267986637385642
ext__cahn_hilliard_2d,reaction_diffusion,single_l2,0.12161374693260683,12.161374693260683,1.0
ext__cahn_hilliard_2d,reaction_diffusion,inverse_mse,0.11264557666798082,11.264557666798082,0.9262569364827169
ext__cahn_hilliard_2d,reaction_diffusion,full,0.10661089946957066,10.661089946957066,0.876635266641771
sharp__cahn_hilliard,reaction_diffusion,mf_fno_transfer_film,0.4690737159799114,46.90737159799114,0.8981729159084014
sharp__cahn_hilliard,reaction_diffusion,mf_fno_allpairs,0.4831017654642436,48.31017654642436,0.9250335428858243
sharp__cahn_hilliard,reaction_diffusion,convnext_unet_film,0.5192570335071212,51.92570335071211,0.9942629228686326
sharp__cahn_hilliard,reaction_diffusion,fno_fire_distcond,0.5075400141538854,50.75400141538854,0.9718274098997038
sharp__cahn_hilliard,reaction_diffusion,wno_transfer_film,0.6082582464634986,60.82582464634986,1.1646806551720081
sharp__cahn_hilliard,reaction_diffusion,mf_deeponet,0.9984818221153563,99.84818221153563,1.911872908456227
sharp__cahn_hilliard,reaction_diffusion,st_hf_pod_gp,0.6481106355427821,64.81106355427822,1.2409892081474836
sharp__cahn_hilliard,reaction_diffusion,uqcorr_transolver_pred,0.5588929208180509,55.88929208180509,1.070156922613012
sharp__cahn_hilliard,reaction_diffusion,uqcorr_convnext_pred,0.47845253476619143,47.84525347661914,0.9161312894647881
sharp__cahn_hilliard,reaction_diffusion,single_l2,0.5222532406307262,52.22532406307262,1.0
sharp__cahn_hilliard,reaction_diffusion,inverse_mse,0.4721388021768947,47.21388021768947,0.9040418813039662
sharp__cahn_hilliard,reaction_diffusion,full,0.4925896319920325,49.25896319920325,0.9432007188641492
sharp__fisher_kpp_2d,reaction_diffusion,mf_fno_transfer_film,0.03206021317902408,3.2060213179024077,1.3560920015959146
sharp__fisher_kpp_2d,reaction_diffusion,mf_fno_allpairs,0.032156423135862394,3.2156423135862395,1.3601615176722361
sharp__fisher_kpp_2d,reaction_diffusion,convnext_unet_film,0.023641621026666382,2.364162102666638,1.0
sharp__fisher_kpp_2d,reaction_diffusion,fno_fire_distcond,0.029787758723293284,2.9787758723293285,1.2599710776894026
sharp__fisher_kpp_2d,reaction_diffusion,wno_transfer_film,0.038300206090441914,3.8300206090441913,1.6200329938138123
sharp__fisher_kpp_2d,reaction_diffusion,mf_deeponet,0.06491370364000748,6.491370364000748,2.7457382709412594
